Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.0059    -334.1962       3.1903   338.1
0.0010        -331.0057    -334.2298       3.2241   341.7
0.0015        -331.0058    -334.2617       3.2559   345.1
0.0020        -331.0063    -334.2908       3.2845   348.1
0.0025        -331.0066    -334.3115       3.3049   350.2
0.0030        -331.0071    -334.3186       3.3115   350.9
0.0035        -331.0071    -334.3063       3.2992   349.6
0.0040        -331.0067    -334.2761       3.2693   346.5
0.0045        -331.0052    -334.2403       3.2351   342.8
0.0050        -331.0042    -334.2211       3.2169   340.9
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.0059    -334.1962       3.1903   338.1
0.0010        -331.0057    -334.2298       3.2241   341.7
0.0015        -331.0058    -334.2617       3.2559   345.1
0.0020        -331.0063    -334.2908       3.2845   348.1
0.0025        -331.0066    -334.3115       3.3049   350.2
0.0030        -331.0071    -334.3186       3.3115   350.9
0.0035        -331.0071    -334.3063       3.2992   349.6
0.0040        -331.0067    -334.2761       3.2693   346.5
0.0045        -331.0052    -334.2403       3.2351   342.8
0.0050        -331.0042    -334.2211       3.2169   340.9
0.0055        -331.0046    -334.2336       3.2290   342.2
0.0060        -331.0058    -334.2715       3.2657   346.1
0.0065        -331.0071    -334.3138       3.3067   350.4
0.0070        -331.0084    -334.3368       3.3284   352.7
0.0075        -331.0084    -334.3240       3.3156   351.4
0.0080        -331.0078    -334.2775       3.2696   346.5
0.0085        -331.0070    -334.2116       3.2046   339.6
0.0090        -331.0059    -334.1477       3.1418   333.0
0.0095        -331.0050    -334.1074       3.1023   328.8
0.0100        -331.0050    -334.1045       3.0995   328.5
0.0105        -331.0049    -334.1409       3.1360   332.3
0.0110        -331.0055    -334.2111       3.2057   339.7
0.0115        -331.0064    -334.2991       3.2927   349.0
0.0120        -331.0073    -334.3835       3.3762   357.8
0.0125        -331.0079    -334.4431       3.4352   364.1
0.0130        -331.0083    -334.4620       3.4537   366.0
0.0135        -331.0084    -334.4331       3.4247   362.9
0.0140        -331.0073    -334.3605       3.3532   355.4
0.0145        -331.0055    -334.2672       3.2617   345.7
0.0150        -331.0036    -334.1888       3.1852   337.6
0.0155        -331.0026    -334.1597       3.1572   334.6
0.0160        -331.0039    -334.1973       3.1934   338.4
0.0165        -331.0063    -334.2859       3.2796   347.6
0.0170        -331.0095    -334.3875       3.3781   358.0
0.0175        -331.0116    -334.4575       3.4458   365.2
0.0180        -331.0128    -334.4660       3.4533   366.0
0.0185        -331.0125    -334.4060       3.3935   359.6
0.0190        -331.0108    -334.2978       3.2870   348.3
0.0195        -331.0088    -334.1840       3.1751   336.5
0.0200        -331.0076    -334.1111       3.1035   328.9
0.0205        -331.0083    -334.1101       3.1018   328.7
0.0210        -331.0107    -334.1794       3.1687   335.8
0.0215        -331.0140    -334.2885       3.2744   347.0
0.0220        -331.0171    -334.3922       3.3751   357.7
0.0225        -331.0189    -334.4513       3.4325   363.8
0.0230        -331.0197    -334.4467       3.4270   363.2
0.0235        -331.0193    -334.3813       3.3619   356.3
0.0240        -331.0186    -334.2769       3.2583   345.3
0.0245        -331.0177    -334.1637       3.1460   333.4
0.0250        -331.0174    -334.0722       3.0548   323.7
0.0255        -331.0177    -334.0211       3.0034   318.3
0.0260        -331.0184    -334.0163       2.9979   317.7
0.0265        -331.0197    -334.0510       3.0313   321.3
0.0270        -331.0213    -334.1069       3.0856   327.0
0.0275        -331.0216    -334.1602       3.1386   332.6
0.0280        -331.0222    -334.1949       3.1727   336.2
0.0285        -331.0217    -334.1989       3.1772   336.7
0.0290        -331.0198    -334.1719       3.1522   334.1
0.0295        -331.0178    -334.1298       3.1120   329.8
0.0300        -331.0154    -334.0922       3.0768   326.1
0.0305        -331.0135    -334.0791       3.0656   324.9
0.0310        -331.0120    -334.1026       3.0906   327.5
0.0315        -331.0109    -334.1636       3.1527   334.1
0.0320        -331.0099    -334.2554       3.2455   343.9
0.0325        -331.0092    -334.3657       3.3565   355.7
0.0330        -331.0084    -334.4768       3.4684   367.6
0.0335        -331.0077    -334.5708       3.5631   377.6
0.0340        -331.0070    -334.6309       3.6239   384.1
0.0345        -331.0063    -334.6452       3.6389   385.6
0.0350        -331.0056    -334.6129       3.6073   382.3
0.0355        -331.0040    -334.5452       3.5412   375.3
0.0360        -331.0027    -334.4657       3.4630   367.0
0.0365        -331.0025    -334.4021       3.3996   360.3
0.0370        -331.0032    -334.3740       3.3709   357.2
0.0375        -331.0052    -334.3861       3.3809   358.3
0.0380        -331.0079    -334.4257       3.4178   362.2
0.0385        -331.0102    -334.4743       3.4640   367.1
0.0390        -331.0128    -334.5183       3.5054   371.5
0.0395        -331.0152    -334.5497       3.5345   374.6
0.0400        -331.0181    -334.5680       3.5499   376.2
0.0405        -331.0207    -334.5752       3.5544   376.7
0.0410        -331.0235    -334.5792       3.5557   376.8
0.0415        -331.0259    -334.5951       3.5692   378.3
0.0420        -331.0292    -334.6448       3.6156   383.2
0.0425        -331.0344    -334.7410       3.7066   392.8
0.0430        -331.0421    -334.8759       3.8337   406.3
0.0435        -331.0514    -335.0189       3.9675   420.5
0.0440        -331.0610    -335.1300       4.0690   431.2
0.0445        -331.0705    -335.1815       4.1111   435.7
0.0450        -331.0799    -335.1700       4.0901   433.5
0.0455        -331.0904    -335.1125       4.0221   426.3
0.0460        -331.1022    -335.0312       3.9290   416.4
0.0465        -331.1145    -334.9442       3.8298   405.9
0.0470        -331.1282    -334.8663       3.7381   396.2
0.0475        -331.1423    -334.8046       3.6624   388.1
0.0480        -331.1570    -334.7648       3.6078   382.3
0.0485        -331.1718    -334.7466       3.5748   378.9
0.0490        -331.1878    -334.7479       3.5601   377.3
0.0495        -331.2041    -334.7600       3.5560   376.9
0.0500        -331.2207    -334.7732       3.5525   376.5
0.0505        -331.2374    -334.7798       3.5425   375.4
0.0510        -331.2536    -334.7781       3.5245   373.5
0.0515        -331.2701    -334.7742       3.5041   371.4
0.0520        -331.2870    -334.7792       3.4922   370.1
0.0525        -331.3046    -334.8026       3.4980   370.7
0.0530        -331.3229    -334.8475       3.5246   373.5
0.0535        -331.3420    -334.9127       3.5707   378.4
0.0540        -331.3625    -334.9907       3.6282   384.5
0.0545        -331.3836    -335.0659       3.6824   390.2
0.0550        -331.4056    -335.1211       3.7155   393.8
0.0555        -331.4279    -335.1413       3.7135   393.5
0.0560        -331.4492    -335.1207       3.6715   389.1
0.0565        -331.4705    -335.0684       3.5979   381.3
0.0570        -331.4914    -335.0045       3.5131   372.3
0.0575        -331.5134    -334.9499       3.4365   364.2
0.0580        -331.5363    -334.9087       3.3724   357.4
0.0585        -331.5590    -334.8691       3.3102   350.8
0.0590        -331.5806    -334.8179       3.2373   343.1
0.0595        -331.6005    -334.7524       3.1519   334.0
0.0600        -331.6193    -334.6875       3.0682   325.2
0.0605        -331.6378    -334.6445       3.0066   318.6
0.0610        -331.6568    -334.6378       2.9810   315.9
0.0615        -331.6757    -334.6669       2.9912   317.0
0.0620        -331.6949    -334.7229       3.0280   320.9
0.0625        -331.7139    -334.7929       3.0790   326.3
0.0630        -331.7326    -334.8668       3.1343   332.2
0.0635        -331.7509    -334.9400       3.1892   338.0
0.0640        -331.7701    -335.0121       3.2420   343.6
0.0645        -331.7898    -335.0792       3.2894   348.6
0.0650        -331.8099    -335.1354       3.3255   352.4
0.0655        -331.8299    -335.1729       3.3430   354.3
0.0660        -331.8496    -335.1864       3.3368   353.6
0.0665        -331.8694    -335.1781       3.3087   350.6
0.0670        -331.8889    -335.1520       3.2630   345.8
0.0675        -331.9082    -335.1131       3.2049   339.6
0.0680        -331.9271    -335.0655       3.1383   332.6
0.0685        -331.9453    -335.0099       3.0646   324.8
0.0690        -331.9625    -334.9506       2.9881   316.7
0.0695        -331.9792    -334.8966       2.9175   309.2
0.0700        -331.9951    -334.8553       2.8602   303.1
0.0705        -332.0108    -334.8319       2.8211   299.0
0.0710        -332.0259    -334.8261       2.8002   296.8
0.0715        -332.0403    -334.8356       2.7953   296.2
0.0720        -332.0538    -334.8602       2.8064   297.4
0.0725        -332.0675    -334.9014       2.8339   300.3
0.0730        -332.0803    -334.9583       2.8781   305.0
