# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       2.88657986e-15     6.422890086924e-03     1.370700662973e-03     2.066732157173e-03
          1.24024120       7.77156117e-16     6.422923665820e-03     1.472113229537e-03     2.066671872130e-03
          2.48048240      -2.27595720e-15     6.423175671287e-03     1.566883371039e-03     2.066479666453e-03
          3.72072360       1.49880108e-15     6.423615958635e-03     1.656324899068e-03     2.066162399736e-03
          4.96096480       3.55271368e-15     6.424185345598e-03     1.740575136807e-03     2.065738659409e-03
          6.20120600      -1.55431223e-15     6.424747139331e-03     1.817227151200e-03     2.065255479053e-03
          7.44144720       3.99680289e-15     6.425154538308e-03     1.885063375182e-03     2.064761285640e-03
          8.68168840      -8.32667268e-16     6.425378511201e-03     1.943384433417e-03     2.064271719192e-03
          9.92192960      -1.60982339e-15     6.425441230942e-03     1.990569790037e-03     2.063793365455e-03
         11.16217080      -1.16573418e-15     6.425302263350e-03     2.026134527085e-03     2.063348288306e-03
         12.40241200       2.05391260e-15     6.424935559636e-03     2.049839366835e-03     2.062957048967e-03
         13.64265320      -8.32667268e-16     6.424366899715e-03     2.061472846256e-03     2.062624379340e-03
         14.88289440      -5.55111512e-16     6.423601036875e-03     2.061212064685e-03     2.062360635282e-03
         16.12313560      -3.38618023e-15     6.422635155538e-03     2.049501302592e-03     2.062175634332e-03
         17.36337680       4.44089210e-15     6.421527726236e-03     2.027081844364e-03     2.062054754729e-03
         18.60361800      -2.66453526e-15     6.420367237020e-03     1.994675711686e-03     2.061980232307e-03
         19.84385921       6.60582700e-15     6.419192530629e-03     1.953224800229e-03     2.061959415562e-03
         21.08410041      -3.60822483e-15     6.418056418180e-03     1.903771410928e-03     2.061980088984e-03
         22.32434161      -1.94289029e-15     6.417003926238e-03     1.847443070915e-03     2.062033839746e-03
         23.56458281       3.55271368e-15     6.416089987207e-03     1.785390772914e-03     2.062102622308e-03
         24.80482401       2.77555756e-16     6.415372353294e-03     1.718738731940e-03     2.062173512730e-03
         26.04506521       9.43689571e-16     6.414902761282e-03     1.648693426018e-03     2.062230514584e-03
         27.28530641      -1.44328993e-15     6.414718908175e-03     1.576345904816e-03     2.062262268408e-03
         28.52554761      -1.22124533e-15     6.414854107863e-03     1.502848913940e-03     2.062258125257e-03
         29.76578881       4.66293670e-15     6.415342668115e-03     1.429271846938e-03     2.062205450640e-03
         31.00603001       3.88578059e-16     6.416199074847e-03     1.356715664837e-03     2.062107160661e-03
         32.24627121       2.33146835e-15     6.417434391583e-03     1.286136861305e-03     2.061956941828e-03
         33.48651241      -9.43689571e-16     6.419039952910e-03     1.218416094916e-03     2.061751183650e-03
         34.72675361       1.66533454e-15     6.420995868496e-03     1.154319908764e-03     2.061484960935e-03
         35.96699481       2.10942375e-15     6.423281070465e-03     1.094583617936e-03     2.061161162288e-03
         37.20723601       4.99600361e-16     6.425892290711e-03     1.039896375698e-03     2.060784538955e-03
         38.44747721       1.16573418e-15     6.428820722830e-03     9.909527035390e-04     2.060363636334e-03
         39.68771841       2.60902411e-15     6.432026588181e-03     9.483080887343e-04     2.059902495654e-03
         40.92795961       9.99200722e-16     6.435427753530e-03     9.123064396004e-04     2.059405029399e-03
         42.16820081      -1.77635684e-15     6.438956020608e-03     8.831669552656e-04     2.058883623588e-03
         43.40844201       7.21644966e-16     6.442548457729e-03     8.611399620886e-04     2.058349323638e-03
         44.64868321      -2.77555756e-16     6.446167238130e-03     8.464089296893e-04     2.057803766681e-03
         45.88892441       6.10622664e-16     6.449814556072e-03     8.389688544508e-04     2.057258376967e-03
         47.12916561       9.43689571e-16     6.453491751493e-03     8.387711715372e-04     2.056739112161e-03
         48.36940681       3.66373598e-15     6.457144399736e-03     8.457689838579e-04     2.056254386307e-03
         49.60964801      -4.88498131e-15     6.460692348748e-03     8.598603544137e-04     2.055779522639e-03
         50.84988921       9.99200722e-16     6.464079397979e-03     8.808078458244e-04     2.055289087856e-03
         52.09013041      -3.38618023e-15     6.467261937862e-03     9.081866527474e-04     2.054818197987e-03
         53.33037161       3.88578059e-15     6.470184353342e-03     9.414013747335e-04     2.054459861236e-03
         54.57061281      -5.55111512e-16     6.472786312127e-03     9.799359376537e-04     2.054229305623e-03
         55.81085401       4.44089210e-16     6.474995193431e-03     1.023432575638e-03     2.054022297317e-03
         57.05109521       2.66453526e-15     6.476760842030e-03     1.071421831210e-03     2.053782125087e-03
         58.29133642      -3.44169138e-15     6.478059472300e-03     1.123111954600e-03     2.053589499660e-03
         59.53157762      -1.66533454e-15     6.478862659113e-03     1.177638876740e-03     2.053511331757e-03
         60.77181882      -9.99200722e-16     6.479129905994e-03     1.234284449451e-03     2.053539643251e-03
         62.01206002       3.88578059e-16     6.478859080056e-03     1.292358502349e-03     2.053681882282e-03
         63.25230122       2.77555756e-16     6.478045936660e-03     1.351081729057e-03     2.053971074789e-03
         64.49254242       3.71924713e-15     6.476683371639e-03     1.409674498891e-03     2.054369826840e-03
         65.73278362       1.72084569e-15     6.474767782924e-03     1.467380576361e-03     2.054820956324e-03
