# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.000000     3.3694938984e-02    -0.0000000000e+00    -0.0000000000e+00
    1.030000     3.4293801714e-02    -0.0000000000e+00    -0.0000000000e+00
    1.060000     3.4826632916e-02    -0.0000000000e+00    -0.0000000000e+00
    1.090000     3.5506352403e-02    -0.0000000000e+00    -0.0000000000e+00
    1.120000     3.6817423465e-02    -0.0000000000e+00    -0.0000000000e+00
    1.150000     3.9726340821e-02     0.0000000000e+00    -0.0000000000e+00
    1.180000     4.4759253188e-02     0.0000000000e+00     0.0000000000e+00
    1.210000     5.0339296629e-02     0.0000000000e+00     0.0000000000e+00
    1.240000     5.3596989745e-02     0.0000000000e+00     0.0000000000e+00
    1.270000     5.2985827813e-02     0.0000000000e+00     0.0000000000e+00
    1.300000     4.9473359488e-02     0.0000000000e+00    -0.0000000000e+00
    1.330000     4.5744657980e-02    -0.0000000000e+00    -0.0000000000e+00
    1.360000     4.4084896033e-02    -0.0000000000e+00    -0.0000000000e+00
    1.390000     4.5199822689e-02    -0.0000000000e+00    -0.0000000000e+00
    1.420000     5.0098026294e-02    -0.0000000000e+00    -0.0000000000e+00
    1.450000     6.1305366377e-02    -0.0000000000e+00    -0.0000000000e+00
    1.480000     7.9862248022e-02    -0.0000000000e+00    -0.0000000000e+00
    1.510000     1.0157449973e-01    -0.0000000000e+00    -0.0000000000e+00
    1.540000     1.1703490351e-01    -0.0000000000e+00    -0.0000000000e+00
    1.570000     1.1771882726e-01    -0.0000000000e+00    -0.0000000000e+00
    1.600000     1.0517797982e-01     0.0000000000e+00    -0.0000000000e+00
    1.630000     9.2008758418e-02     0.0000000000e+00     0.0000000000e+00
    1.660000     9.1413796696e-02     0.0000000000e+00     0.0000000000e+00
    1.690000     1.0768819922e-01     0.0000000000e+00     0.0000000000e+00
    1.720000     1.3404231766e-01     0.0000000000e+00     0.0000000000e+00
    1.750000     1.5578518389e-01     0.0000000000e+00     0.0000000000e+00
    1.780000     1.6019845198e-01     0.0000000000e+00     0.0000000000e+00
    1.810000     1.4606261648e-01     0.0000000000e+00     0.0000000000e+00
    1.840000     1.2195089963e-01     0.0000000000e+00     0.0000000000e+00
    1.870000     1.0073449484e-01     0.0000000000e+00     0.0000000000e+00
    1.900000     1.0281917287e-01     0.0000000000e+00     0.0000000000e+00
    1.930000     1.7358188058e-01    -0.0000000000e+00    -0.0000000000e+00
    1.960000     4.1615064700e-01    -0.0000000000e+00    -0.0000000000e+00
    1.990000     9.8911999297e-01    -0.0000000000e+00    -0.0000000000e+00
    2.020000     1.9692357385e+00    -0.0000000000e+00    -0.0000000000e+00
    2.050000     3.1229066569e+00    -0.0000000000e+00    -0.0000000000e+00
    2.080000     3.8919102904e+00    -0.0000000000e+00    -0.0000000000e+00
    2.110000     3.7972792560e+00    -0.0000000000e+00    -0.0000000000e+00
    2.140000     2.9010055774e+00     0.0000000000e+00     0.0000000000e+00
