# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.000000     0.0000000000e+00    -9.2731957479e-03     0.0000000000e+00
    1.030000     0.0000000000e+00    -9.1683505712e-03     0.0000000000e+00
    1.060000     0.0000000000e+00    -7.4693194121e-03     0.0000000000e+00
    1.090000     0.0000000000e+00    -1.3303186054e-03     0.0000000000e+00
    1.120000     0.0000000000e+00     1.5350325533e-02     0.0000000000e+00
    1.150000     0.0000000000e+00     4.9562209476e-02     0.0000000000e+00
    1.180000     0.0000000000e+00     9.9023812156e-02    -0.0000000000e+00
    1.210000     0.0000000000e+00     1.4533105345e-01    -0.0000000000e+00
    1.240000     0.0000000000e+00     1.6280823724e-01     0.0000000000e+00
    1.270000     0.0000000000e+00     1.3974651561e-01     0.0000000000e+00
    1.300000     0.0000000000e+00     9.0541624562e-02     0.0000000000e+00
    1.330000     0.0000000000e+00     4.1639670622e-02     0.0000000000e+00
    1.360000     0.0000000000e+00     8.4334931093e-03     0.0000000000e+00
    1.390000     0.0000000000e+00    -8.9237494278e-03     0.0000000000e+00
    1.420000     0.0000000000e+00    -1.5756102964e-02     0.0000000000e+00
    1.450000     0.0000000000e+00    -1.6255589326e-02     0.0000000000e+00
    1.480000     0.0000000000e+00    -9.7094730721e-03     0.0000000000e+00
    1.510000     0.0000000000e+00     9.1088005158e-03     0.0000000000e+00
    1.540000     0.0000000000e+00     4.2038230685e-02     0.0000000000e+00
    1.570000     0.0000000000e+00     8.3627080693e-02     0.0000000000e+00
    1.600000     0.0000000000e+00     1.3147792944e-01    -0.0000000000e+00
    1.630000     0.0000000000e+00     2.0588918526e-01    -0.0000000000e+00
    1.660000     0.0000000000e+00     3.5441142571e-01    -0.0000000000e+00
