# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.000000     0.0000000000e+00     0.0000000000e+00    -1.6916930760e-02
    1.030000     0.0000000000e+00     0.0000000000e+00    -1.6716047809e-02
    1.060000     0.0000000000e+00     0.0000000000e+00    -1.4810532362e-02
    1.090000     0.0000000000e+00     0.0000000000e+00    -8.1767266803e-03
    1.120000     0.0000000000e+00     0.0000000000e+00     9.4068668271e-03
    1.150000     0.0000000000e+00     0.0000000000e+00     4.4521433887e-02
    1.180000     0.0000000000e+00     0.0000000000e+00     9.3760403341e-02
    1.210000     0.0000000000e+00    -0.0000000000e+00     1.3771510303e-01
    1.240000     0.0000000000e+00     0.0000000000e+00     1.5134294248e-01
    1.270000     0.0000000000e+00     0.0000000000e+00     1.2522387318e-01
    1.300000     0.0000000000e+00     0.0000000000e+00     7.5479551041e-02
    1.330000     0.0000000000e+00     0.0000000000e+00     2.8178509715e-02
    1.360000     0.0000000000e+00     0.0000000000e+00    -2.7524811110e-03
    1.390000     0.0000000000e+00     0.0000000000e+00    -1.8212323372e-02
    1.420000     0.0000000000e+00     0.0000000000e+00    -2.3870096440e-02
    1.450000     0.0000000000e+00     0.0000000000e+00    -2.3808458965e-02
    1.480000     0.0000000000e+00     0.0000000000e+00    -1.7038840835e-02
    1.510000     0.0000000000e+00     0.0000000000e+00     1.9228428755e-03
    1.540000     0.0000000000e+00     0.0000000000e+00     3.5271852173e-02
    1.570000     0.0000000000e+00     0.0000000000e+00     7.7929765242e-02
    1.600000     0.0000000000e+00    -0.0000000000e+00     1.2751029637e-01
    1.630000     0.0000000000e+00    -0.0000000000e+00     2.0392026560e-01
    1.660000     0.0000000000e+00    -0.0000000000e+00     3.5389314314e-01
    1.690000     0.0000000000e+00     0.0000000000e+00     6.0705479712e-01
    1.720000     0.0000000000e+00     0.0000000000e+00     9.0958964756e-01
    1.750000     0.0000000000e+00     0.0000000000e+00     1.1270635794e+00
    1.780000     0.0000000000e+00     0.0000000000e+00     1.1409988019e+00
    1.810000     0.0000000000e+00     0.0000000000e+00     9.4270955893e-01
    1.840000     0.0000000000e+00     0.0000000000e+00     6.3304220219e-01
    1.870000     0.0000000000e+00     0.0000000000e+00     3.4045280471e-01
    1.900000     0.0000000000e+00     0.0000000000e+00     1.3988552811e-01
    1.930000     0.0000000000e+00     0.0000000000e+00     3.7258113673e-02
    1.960000    -0.0000000000e+00     0.0000000000e+00     6.3476159380e-03
    1.990000    -0.0000000000e+00     0.0000000000e+00     2.2666284378e-02
    2.020000    -0.0000000000e+00     0.0000000000e+00     7.0761711395e-02
    2.050000    -0.0000000000e+00     0.0000000000e+00     1.3229779732e-01
    2.080000    -0.0000000000e+00     0.0000000000e+00     1.7522164006e-01
    2.110000    -0.0000000000e+00     0.0000000000e+00     1.7081659830e-01
    2.140000     0.0000000000e+00     0.0000000000e+00     1.2212211473e-01
    2.170000     0.0000000000e+00     0.0000000000e+00     5.8401494962e-02
    2.200000     0.0000000000e+00     0.0000000000e+00     6.5128719666e-03
    2.230000     0.0000000000e+00    -0.0000000000e+00    -2.1847056213e-02
    2.260000     0.0000000000e+00     0.0000000000e+00    -2.4446486583e-02
    2.290000     0.0000000000e+00     0.0000000000e+00     1.0726794249e-02
    2.320000     0.0000000000e+00     0.0000000000e+00     1.2321725150e-01
    2.350000     0.0000000000e+00     0.0000000000e+00     3.5898696705e-01
    2.380000    -0.0000000000e+00     0.0000000000e+00     7.1866451661e-01
    2.410000    -0.0000000000e+00     0.0000000000e+00     1.1329627144e+00
    2.440000    -0.0000000000e+00     0.0000000000e+00     1.5042169112e+00
    2.470000    -0.0000000000e+00     0.0000000000e+00     1.8115705499e+00
    2.500000    -0.0000000000e+00     0.0000000000e+00     2.2581169149e+00
    2.530000     0.0000000000e+00     0.0000000000e+00     3.4494079974e+00
    2.560000     0.0000000000e+00     0.0000000000e+00     6.3958367738e+00
    2.590000     0.0000000000e+00     0.0000000000e+00     1.1794512267e+01
    2.620000     0.0000000000e+00    -0.0000000000e+00     1.8727536420e+01
    2.650000     0.0000000000e+00    -0.0000000000e+00     2.4473351263e+01
    2.680000     0.0000000000e+00    -0.0000000000e+00     2.6509450073e+01
    2.710000     0.0000000000e+00     0.0000000000e+00     2.4622564751e+01
    2.740000     0.0000000000e+00     0.0000000000e+00     2.0479266198e+01
    2.770000     0.0000000000e+00    -0.0000000000e+00     1.5643962609e+01
    2.800000     0.0000000000e+00    -0.0000000000e+00     1.0846014216e+01
    2.830000     0.0000000000e+00    -0.0000000000e+00     6.6327309696e+00
    2.860000     0.0000000000e+00     0.0000000000e+00     3.6230274910e+00
    2.890000     0.0000000000e+00     0.0000000000e+00     2.0452580006e+00
    2.920000     0.0000000000e+00     0.0000000000e+00     1.5276498654e+00
    2.950000     0.0000000000e+00     0.0000000000e+00     1.4280623110e+00
    2.980000     0.0000000000e+00     0.0000000000e+00     1.2726263340e+00
    3.010000     0.0000000000e+00     0.0000000000e+00     9.5830060168e-01
    3.040000     0.0000000000e+00     0.0000000000e+00     6.3884001477e-01
    3.070000     0.0000000000e+00     0.0000000000e+00     4.6662839822e-01
    3.100000     0.0000000000e+00     0.0000000000e+00     4.4929438118e-01
    3.130000     0.0000000000e+00     0.0000000000e+00     4.8176421698e-01
    3.160000     0.0000000000e+00     0.0000000000e+00     4.5598791062e-01
    3.190000     0.0000000000e+00     0.0000000000e+00     3.4896290006e-01
    3.220000     0.0000000000e+00     0.0000000000e+00     2.2025866953e-01
    3.250000     0.0000000000e+00     0.0000000000e+00     1.4811301401e-01
    3.280000     0.0000000000e+00     0.0000000000e+00     1.9889712382e-01
