# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     1.6349036804e-02    -0.0000000000e+00    -0.0000000000e+00
    0.100000     3.5641644765e-02    -0.0000000000e+00    -0.0000000000e+00
    0.150000     3.7160081336e-02    -0.0000000000e+00    -0.0000000000e+00
    0.200000     3.3750775617e-02    -0.0000000000e+00    -0.0000000000e+00
    0.250000     3.1971544792e-02    -0.0000000000e+00    -0.0000000000e+00
    0.300000     3.1227496897e-02    -0.0000000000e+00    -0.0000000000e+00
    0.350000     3.0892454992e-02    -0.0000000000e+00    -0.0000000000e+00
    0.400000     3.0811428874e-02    -0.0000000000e+00    -0.0000000000e+00
    0.450000     3.0893877212e-02    -0.0000000000e+00    -0.0000000000e+00
    0.500000     3.1067387673e-02    -0.0000000000e+00    -0.0000000000e+00
    0.550000     3.1314082528e-02    -0.0000000000e+00    -0.0000000000e+00
    0.600000     3.1564827970e-02    -0.0000000000e+00    -0.0000000000e+00
    0.650000     3.1830243351e-02    -0.0000000000e+00    -0.0000000000e+00
    0.700000     3.2035291096e-02    -0.0000000000e+00    -0.0000000000e+00
    0.750000     3.2167299792e-02    -0.0000000000e+00    -0.0000000000e+00
    0.800000     3.2258989596e-02    -0.0000000000e+00    -0.0000000000e+00
    0.850000     3.2433108558e-02    -0.0000000000e+00    -0.0000000000e+00
    0.900000     3.2603573966e-02    -0.0000000000e+00    -0.0000000000e+00
    0.950000     3.2915008965e-02    -0.0000000000e+00    -0.0000000000e+00
    1.000000     3.3694938984e-02    -0.0000000000e+00    -0.0000000000e+00
    1.050000     3.4648001624e-02    -0.0000000000e+00    -0.0000000000e+00
    1.100000     3.5835418309e-02    -0.0000000000e+00    -0.0000000000e+00
    1.150000     3.9726340821e-02     0.0000000000e+00    -0.0000000000e+00
    1.200000     4.8598941126e-02     0.0000000000e+00     0.0000000000e+00
    1.250000     5.3826553593e-02     0.0000000000e+00     0.0000000000e+00
    1.300000     4.9473359488e-02     0.0000000000e+00    -0.0000000000e+00
    1.350000     4.4342223897e-02    -0.0000000000e+00    -0.0000000000e+00
    1.400000     4.6306339511e-02    -0.0000000000e+00    -0.0000000000e+00
    1.450000     6.1305366377e-02    -0.0000000000e+00    -0.0000000000e+00
    1.500000     9.4498188243e-02    -0.0000000000e+00    -0.0000000000e+00
    1.550000     1.1910533751e-01    -0.0000000000e+00    -0.0000000000e+00
    1.600000     1.0517797982e-01     0.0000000000e+00    -0.0000000000e+00
    1.650000     8.9717993888e-02     0.0000000000e+00     0.0000000000e+00
    1.700000     1.1598054683e-01     0.0000000000e+00     0.0000000000e+00
    1.750000     1.5578518389e-01     0.0000000000e+00     0.0000000000e+00
    1.800000     1.5242524751e-01     0.0000000000e+00     0.0000000000e+00
    1.850000     1.1379756648e-01     0.0000000000e+00     0.0000000000e+00
    1.900000     1.0281917287e-01     0.0000000000e+00     0.0000000000e+00
    1.950000     3.0679470141e-01    -0.0000000000e+00    -0.0000000000e+00
    2.000000     1.2738878934e+00    -0.0000000000e+00    -0.0000000000e+00
    2.050000     3.1229066569e+00    -0.0000000000e+00    -0.0000000000e+00
    2.100000     3.9344126713e+00    -0.0000000000e+00    -0.0000000000e+00
    2.150000     2.5139135393e+00     0.0000000000e+00     0.0000000000e+00
    2.200000     8.5316865971e-01     0.0000000000e+00     0.0000000000e+00
    2.250000     2.2303310198e-01    -0.0000000000e+00    -0.0000000000e+00
    2.300000     1.7873567971e-01    -0.0000000000e+00    -0.0000000000e+00
    2.350000     6.9384410680e-01    -0.0000000000e+00    -0.0000000000e+00
    2.400000     3.8443133824e+00    -0.0000000000e+00    -0.0000000000e+00
    2.450000     1.2972087144e+01    -0.0000000000e+00    -0.0000000000e+00
    2.500000     2.2774577138e+01     0.0000000000e+00     0.0000000000e+00
    2.550000     2.1393077519e+01     0.0000000000e+00     0.0000000000e+00
    2.600000     1.5191536215e+01     0.0000000000e+00     0.0000000000e+00
    2.650000     1.5274773300e+01     0.0000000000e+00     0.0000000000e+00
    2.700000     1.4208417026e+01     0.0000000000e+00     0.0000000000e+00
    2.750000     7.7656767884e+00     0.0000000000e+00     0.0000000000e+00
    2.800000     2.4899879715e+00     0.0000000000e+00     0.0000000000e+00
    2.850000     5.2151685325e-01     0.0000000000e+00     0.0000000000e+00
    2.900000     8.1511944702e-02     0.0000000000e+00     0.0000000000e+00
    2.950000     4.7478030025e-02     0.0000000000e+00     0.0000000000e+00
    3.000000     7.3673948168e-02     0.0000000000e+00     0.0000000000e+00
    3.050000     1.0749150348e-01     0.0000000000e+00     0.0000000000e+00
    3.100000     1.4913165242e-01     0.0000000000e+00     0.0000000000e+00
    3.150000     1.7897698442e-01     0.0000000000e+00     0.0000000000e+00
    3.200000     1.6646039203e-01     0.0000000000e+00     0.0000000000e+00
    3.250000     8.9398068706e-02     0.0000000000e+00     0.0000000000e+00
    3.300000     2.7630972304e-02     0.0000000000e+00     0.0000000000e+00
    3.350000     3.9676974717e-02     0.0000000000e+00     0.0000000000e+00
    3.400000     8.6182855306e-02     0.0000000000e+00     0.0000000000e+00
    3.450000     1.7402189605e-01     0.0000000000e+00     0.0000000000e+00
    3.500000     4.9772340131e-01     0.0000000000e+00     0.0000000000e+00
    3.550000     1.1549980051e+00     0.0000000000e+00     0.0000000000e+00
    3.600000     1.5188236923e+00     0.0000000000e+00     0.0000000000e+00
    3.650000     1.1279894219e+00     0.0000000000e+00     0.0000000000e+00
    3.700000     7.3770850681e-01     0.0000000000e+00     0.0000000000e+00
    3.750000     1.2765182865e+00    -0.0000000000e+00     0.0000000000e+00
    3.800000     2.4883246736e+00    -0.0000000000e+00    -0.0000000000e+00
    3.850000     2.7127445080e+00    -0.0000000000e+00    -0.0000000000e+00
    3.900000     1.5421039116e+00     0.0000000000e+00     0.0000000000e+00
    3.950000     5.5971452225e-01     0.0000000000e+00     0.0000000000e+00
    4.000000     3.6324787332e-01     0.0000000000e+00     0.0000000000e+00
