# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     0.0000000000e+00    -4.4609170931e-03    -0.0000000000e+00
    0.100000     0.0000000000e+00    -9.7199797594e-03    -0.0000000000e+00
    0.150000     0.0000000000e+00    -1.0108519597e-02    -0.0000000000e+00
    0.200000     0.0000000000e+00    -9.2088960037e-03     0.0000000000e+00
    0.250000     0.0000000000e+00    -8.7459441197e-03     0.0000000000e+00
    0.300000     0.0000000000e+00    -8.6273329649e-03     0.0000000000e+00
    0.350000     0.0000000000e+00    -8.5000019031e-03     0.0000000000e+00
    0.400000     0.0000000000e+00    -8.4762387821e-03     0.0000000000e+00
    0.450000     0.0000000000e+00    -8.4215319142e-03     0.0000000000e+00
    0.500000     0.0000000000e+00    -8.4637427713e-03     0.0000000000e+00
    0.550000     0.0000000000e+00    -8.4539180818e-03     0.0000000000e+00
    0.600000     0.0000000000e+00    -8.4499052651e-03     0.0000000000e+00
    0.650000     0.0000000000e+00    -8.5387134466e-03     0.0000000000e+00
    0.700000     0.0000000000e+00    -8.6205723898e-03     0.0000000000e+00
    0.750000     0.0000000000e+00    -8.8625286392e-03     0.0000000000e+00
    0.800000     0.0000000000e+00    -8.8735264977e-03     0.0000000000e+00
    0.850000     0.0000000000e+00    -9.0486164915e-03     0.0000000000e+00
    0.900000     0.0000000000e+00    -9.0007363121e-03     0.0000000000e+00
    0.950000     0.0000000000e+00    -9.2357248348e-03     0.0000000000e+00
    1.000000     0.0000000000e+00    -9.2731957479e-03     0.0000000000e+00
    1.050000     0.0000000000e+00    -8.3415853433e-03     0.0000000000e+00
    1.100000     0.0000000000e+00     2.6572157540e-03     0.0000000000e+00
    1.150000     0.0000000000e+00     4.9562209476e-02     0.0000000000e+00
    1.200000     0.0000000000e+00     1.3189636285e-01    -0.0000000000e+00
