# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     0.0000000000e+00    -0.0000000000e+00    -8.2593974567e-03
    0.100000     0.0000000000e+00    -0.0000000000e+00    -1.7997680004e-02
    0.150000     0.0000000000e+00    -0.0000000000e+00    -1.8737820406e-02
    0.200000     0.0000000000e+00     0.0000000000e+00    -1.7043802577e-02
    0.250000     0.0000000000e+00     0.0000000000e+00    -1.6165575654e-02
    0.300000     0.0000000000e+00     0.0000000000e+00    -1.5866089691e-02
    0.350000     0.0000000000e+00     0.0000000000e+00    -1.5647076650e-02
    0.400000     0.0000000000e+00     0.0000000000e+00    -1.5564537915e-02
    0.450000     0.0000000000e+00     0.0000000000e+00    -1.5498649744e-02
    0.500000     0.0000000000e+00     0.0000000000e+00    -1.5558032210e-02
    0.550000     0.0000000000e+00     0.0000000000e+00    -1.5584502414e-02
    0.600000     0.0000000000e+00     0.0000000000e+00    -1.5638097631e-02
    0.650000     0.0000000000e+00     0.0000000000e+00    -1.5777138172e-02
    0.700000     0.0000000000e+00     0.0000000000e+00    -1.5908391179e-02
    0.750000     0.0000000000e+00     0.0000000000e+00    -1.6200481758e-02
    0.800000     0.0000000000e+00     0.0000000000e+00    -1.6329979651e-02
    0.850000     0.0000000000e+00     0.0000000000e+00    -1.6631004831e-02
    0.900000     0.0000000000e+00     0.0000000000e+00    -1.6668721347e-02
    0.950000     0.0000000000e+00     0.0000000000e+00    -1.6912360588e-02
    1.000000     0.0000000000e+00     0.0000000000e+00    -1.6916930760e-02
    1.050000     0.0000000000e+00     0.0000000000e+00    -1.5772393076e-02
    1.100000     0.0000000000e+00     0.0000000000e+00    -3.9288618949e-03
    1.150000     0.0000000000e+00     0.0000000000e+00     4.4521433887e-02
    1.200000     0.0000000000e+00    -0.0000000000e+00     1.2530799063e-01
    1.250000     0.0000000000e+00     0.0000000000e+00     1.4673615038e-01
    1.300000     0.0000000000e+00     0.0000000000e+00     7.5479551041e-02
    1.350000     0.0000000000e+00     0.0000000000e+00     5.5986630852e-03
    1.400000     0.0000000000e+00     0.0000000000e+00    -2.0918374880e-02
    1.450000     0.0000000000e+00     0.0000000000e+00    -2.3808458965e-02
    1.500000     0.0000000000e+00     0.0000000000e+00    -6.0509215506e-03
    1.550000     0.0000000000e+00     0.0000000000e+00     4.8802949399e-02
    1.600000     0.0000000000e+00    -0.0000000000e+00     1.2751029637e-01
    1.650000     0.0000000000e+00    -0.0000000000e+00     2.9272362239e-01
    1.700000     0.0000000000e+00     0.0000000000e+00     7.0803707250e-01
    1.750000     0.0000000000e+00     0.0000000000e+00     1.1270635794e+00
    1.800000     0.0000000000e+00     0.0000000000e+00     1.0277051045e+00
    1.850000     0.0000000000e+00     0.0000000000e+00     5.2832955515e-01
    1.900000     0.0000000000e+00     0.0000000000e+00     1.3988552811e-01
    1.950000     0.0000000000e+00     0.0000000000e+00     1.0416484914e-02
    2.000000    -0.0000000000e+00     0.0000000000e+00     3.5841480026e-02
    2.050000    -0.0000000000e+00     0.0000000000e+00     1.3229779732e-01
    2.100000    -0.0000000000e+00     0.0000000000e+00     1.7814320479e-01
    2.150000     0.0000000000e+00     0.0000000000e+00     1.0094564542e-01
    2.200000     0.0000000000e+00     0.0000000000e+00     6.5128719666e-03
    2.250000     0.0000000000e+00     0.0000000000e+00    -2.6693283914e-02
    2.300000     0.0000000000e+00     0.0000000000e+00     3.7023903095e-02
    2.350000     0.0000000000e+00     0.0000000000e+00     3.5898696705e-01
    2.400000    -0.0000000000e+00     0.0000000000e+00     9.9517855766e-01
    2.450000    -0.0000000000e+00     0.0000000000e+00     1.6099738724e+00
    2.500000    -0.0000000000e+00     0.0000000000e+00     2.2581169149e+00
    2.550000     0.0000000000e+00     0.0000000000e+00     5.1547892053e+00
    2.600000     0.0000000000e+00    -0.0000000000e+00     1.4043308435e+01
    2.650000     0.0000000000e+00    -0.0000000000e+00     2.4473351263e+01
    2.700000     0.0000000000e+00     0.0000000000e+00     2.5600744411e+01
    2.750000     0.0000000000e+00     0.0000000000e+00     1.8895255464e+01
    2.800000     0.0000000000e+00    -0.0000000000e+00     1.0846014216e+01
    2.850000     0.0000000000e+00     0.0000000000e+00     4.4652547396e+00
    2.900000     0.0000000000e+00     0.0000000000e+00     1.7857973393e+00
    2.950000     0.0000000000e+00     0.0000000000e+00     1.4280623110e+00
    3.000000     0.0000000000e+00     0.0000000000e+00     1.0736301459e+00
    3.050000     0.0000000000e+00     0.0000000000e+00     5.6143503980e-01
    3.100000     0.0000000000e+00     0.0000000000e+00     4.4929438118e-01
    3.150000     0.0000000000e+00     0.0000000000e+00     4.7464660863e-01
    3.200000    -0.0000000000e+00     0.0000000000e+00     3.0441582907e-01
    3.250000     0.0000000000e+00     0.0000000000e+00     1.4811301401e-01
    3.300000     0.0000000000e+00     0.0000000000e+00     3.2940475673e-01
    3.350000     0.0000000000e+00    -0.0000000000e+00     9.9004441259e-01
    3.400000     0.0000000000e+00    -0.0000000000e+00     1.5833792541e+00
    3.450000     0.0000000000e+00     0.0000000000e+00     1.3559383870e+00
    3.500000     0.0000000000e+00     0.0000000000e+00     7.3466260783e-01
    3.550000     0.0000000000e+00     0.0000000000e+00     4.8926974750e-01
    3.600000     0.0000000000e+00     0.0000000000e+00     7.3363862849e-01
    3.650000     0.0000000000e+00     0.0000000000e+00     9.8835637857e-01
    3.700000     0.0000000000e+00    -0.0000000000e+00     9.1001507072e-01
    3.750000     0.0000000000e+00    -0.0000000000e+00     9.9343948230e-01
    3.800000    -0.0000000000e+00     0.0000000000e+00     1.3091577856e+00
    3.850000    -0.0000000000e+00     0.0000000000e+00     1.4018390890e+00
    3.900000     0.0000000000e+00    -0.0000000000e+00     1.7361238421e+00
    3.950000     0.0000000000e+00     0.0000000000e+00     2.4728284610e+00
    4.000000     0.0000000000e+00     0.0000000000e+00     2.5611550517e+00
    4.050000     0.0000000000e+00     0.0000000000e+00     1.7818491417e+00
    4.100000     0.0000000000e+00     0.0000000000e+00     1.0224259852e+00
    4.150000     0.0000000000e+00     0.0000000000e+00     6.3099363144e-01
    4.200000    -0.0000000000e+00     0.0000000000e+00     5.4237966980e-01
    4.250000    -0.0000000000e+00     0.0000000000e+00     6.6760074592e-01
    4.300000    -0.0000000000e+00     0.0000000000e+00     6.3261352748e-01
    4.350000    -0.0000000000e+00     0.0000000000e+00     3.6667632827e-01
    4.400000    -0.0000000000e+00     0.0000000000e+00     1.6460054996e-01
    4.450000     0.0000000000e+00     0.0000000000e+00     1.5604147783e-01
    4.500000     0.0000000000e+00     0.0000000000e+00     3.4112042496e-01
    4.550000     0.0000000000e+00     0.0000000000e+00     6.3124918793e-01
    4.600000     0.0000000000e+00    -0.0000000000e+00     8.0537201109e-01
    4.650000     0.0000000000e+00    -0.0000000000e+00     7.9247576218e-01
    4.700000     0.0000000000e+00     0.0000000000e+00     6.4389515906e-01
    4.750000     0.0000000000e+00     0.0000000000e+00     4.0048967128e-01
    4.800000     0.0000000000e+00     0.0000000000e+00     2.1905767745e-01
    4.850000     0.0000000000e+00     0.0000000000e+00     1.7141734850e-01
    4.900000     0.0000000000e+00     0.0000000000e+00     1.7269030205e-01
    4.950000     0.0000000000e+00     0.0000000000e+00     1.7636855916e-01
    5.000000     0.0000000000e+00    -0.0000000000e+00     2.2362691895e-01
    5.050000    -0.0000000000e+00     0.0000000000e+00     3.5489276890e-01
    5.100000    -0.0000000000e+00     0.0000000000e+00     5.9583519575e-01
    5.150000    -0.0000000000e+00     0.0000000000e+00     8.7050284115e-01
    5.200000     0.0000000000e+00     0.0000000000e+00     9.3017022177e-01
    5.250000     0.0000000000e+00    -0.0000000000e+00     7.1202651703e-01
    5.300000     0.0000000000e+00     0.0000000000e+00     4.0874515555e-01
    5.350000    -0.0000000000e+00     0.0000000000e+00     1.9474331748e-01
    5.400000    -0.0000000000e+00     0.0000000000e+00     9.6651555980e-02
    5.450000     0.0000000000e+00     0.0000000000e+00     6.4889691683e-02
    5.500000     0.0000000000e+00     0.0000000000e+00     9.1762494600e-02
    5.550000     0.0000000000e+00     0.0000000000e+00     1.4378549949e-01
    5.600000     0.0000000000e+00     0.0000000000e+00     1.7704266773e-01
    5.650000     0.0000000000e+00     0.0000000000e+00     2.2833059441e-01
    5.700000    -0.0000000000e+00     0.0000000000e+00     2.7200158050e-01
    5.750000    -0.0000000000e+00     0.0000000000e+00     2.1858199130e-01
    5.800000    -0.0000000000e+00     0.0000000000e+00     1.2607434381e-01
    5.850000     0.0000000000e+00     0.0000000000e+00     1.0581676889e-01
    5.900000     0.0000000000e+00     0.0000000000e+00     1.4157081286e-01
    5.950000     0.0000000000e+00    -0.0000000000e+00     1.4449465243e-01
    6.000000    -0.0000000000e+00    -0.0000000000e+00     9.3591325332e-02
    6.050000    -0.0000000000e+00     0.0000000000e+00     5.7029107102e-02
    6.100000     0.0000000000e+00     0.0000000000e+00     6.3654720674e-02
    6.150000     0.0000000000e+00     0.0000000000e+00     8.1175851976e-02
    6.200000     0.0000000000e+00    -0.0000000000e+00     8.1142924912e-02
    6.250000     0.0000000000e+00    -0.0000000000e+00     7.0079969267e-02
    6.300000     0.0000000000e+00     0.0000000000e+00     9.3891713401e-02
    6.350000     0.0000000000e+00     0.0000000000e+00     1.4855883844e-01
    6.400000     0.0000000000e+00     0.0000000000e+00     1.6671571669e-01
    6.450000    -0.0000000000e+00     0.0000000000e+00     1.3507309057e-01
    6.500000    -0.0000000000e+00     0.0000000000e+00     8.4120452509e-02
    6.550000    -0.0000000000e+00     0.0000000000e+00     4.7852049414e-02
    6.600000    -0.0000000000e+00     0.0000000000e+00     5.1783969134e-02
    6.650000     0.0000000000e+00     0.0000000000e+00     7.9334489698e-02
    6.700000     0.0000000000e+00     0.0000000000e+00     9.0168477047e-02
    6.750000     0.0000000000e+00     0.0000000000e+00     7.6977383535e-02
    6.800000    -0.0000000000e+00     0.0000000000e+00     6.5531258087e-02
    6.850000    -0.0000000000e+00     0.0000000000e+00     7.2079910282e-02
    6.900000     0.0000000000e+00     0.0000000000e+00     7.8470782454e-02
    6.950000    -0.0000000000e+00     0.0000000000e+00     7.4942121180e-02
    7.000000    -0.0000000000e+00     0.0000000000e+00     9.4806044628e-02
    7.050000    -0.0000000000e+00     0.0000000000e+00     1.2650664528e-01
