       Step     Time          Energy         fmax
GPMin:    0 12:09:30     -322.538741        0.4078
GPMin:    1 12:09:30     -323.500849        0.2991
GPMin:    2 12:09:30     -324.097234        0.2196
GPMin:    3 12:09:31     -324.542747        0.1900
GPMin:    4 12:09:31     -324.849305        0.1443
GPMin:    5 12:09:32     -325.026351        0.0909
GPMin:    6 12:09:32     -325.102157        0.0591
GPMin:    7 12:09:33     -325.124437        0.0400
GPMin:    8 12:09:34     -325.129842        0.0331
GPMin:    9 12:09:34     -325.133604        0.0289
GPMin:   10 12:09:35     -325.136758        0.0191
