       Step     Time          Energy         fmax
GPMin:    0 11:28:31     -615.178314        0.3796
GPMin:    1 11:28:32     -616.465673        0.3057
GPMin:    2 11:28:33     -617.343890        0.2535
GPMin:    3 11:28:33     -618.084881        0.2079
GPMin:    4 11:28:35     -618.718813        0.1695
GPMin:    5 11:28:36     -619.257097        0.1467
GPMin:    6 11:28:38     -619.701954        0.1121
GPMin:    7 11:28:41     -620.054111        0.0984
GPMin:    8 11:28:43     -620.319857        0.0838
GPMin:    9 11:28:47     -620.510627        0.0810
GPMin:   10 11:28:51     -620.636664        0.0743
GPMin:   11 11:28:56     -620.714152        0.0519
GPMin:   12 11:29:01     -620.755824        0.0334
GPMin:   13 11:29:07     -620.772142        0.0230
GPMin:   14 11:29:15     -620.777355        0.0224
GPMin:   15 11:29:23     -620.779471        0.0134
       Step     Time          Energy         fmax
GPMin:    0 11:29:23      -62.814476        0.4089
GPMin:    1 11:29:23      -62.921349        0.2511
GPMin:    2 11:29:23      -62.937374        0.6266
GPMin:    3 11:29:24      -62.941944        0.2755
GPMin:    4 11:29:24      -62.953604        0.3117
GPMin:    5 11:29:24      -63.007079        0.0824
GPMin:    6 11:29:24      -63.007862        0.0759
GPMin:    7 11:29:25      -63.009702        0.0399
GPMin:    8 11:29:25      -63.009874        0.0296
GPMin:    9 11:29:25      -63.011067        0.0046
       Step     Time          Energy         fmax
GPMin:    0 11:29:25     -266.527448        0.4176
GPMin:    1 11:29:25     -267.400065        0.2985
GPMin:    2 11:29:26     -267.918544        0.2098
GPMin:    3 11:29:26     -268.269812        0.1802
GPMin:    4 11:29:26     -268.467718        0.0983
GPMin:    5 11:29:27     -268.546135        0.0623
GPMin:    6 11:29:27     -268.565213        0.0372
GPMin:    7 11:29:27     -268.569486        0.0307
GPMin:    8 11:29:28     -268.573644        0.0225
GPMin:    9 11:29:28     -268.575060        0.0140
       Step     Time          Energy         fmax
GPMin:    0 11:29:29     -416.232061        0.4058
GPMin:    1 11:29:29     -417.315341        0.3084
GPMin:    2 11:29:29     -418.018696        0.2372
GPMin:    3 11:29:30     -418.581771        0.1840
GPMin:    4 11:29:30     -419.023511        0.1640
GPMin:    5 11:29:31     -419.347984        0.1132
GPMin:    6 11:29:32     -419.561136        0.0914
GPMin:    7 11:29:33     -419.678181        0.0650
GPMin:    8 11:29:34     -419.731126        0.0605
GPMin:    9 11:29:35     -419.749116        0.0368
GPMin:   10 11:29:37     -419.753901        0.0292
GPMin:   11 11:29:38     -419.756840        0.0222
GPMin:   12 11:29:40     -419.759663        0.0230
GPMin:   13 11:29:43     -419.761594        0.0209
GPMin:   14 11:29:45     -419.762358        0.0107
       Step     Time          Energy         fmax
GPMin:    0 11:29:46     -322.538741        0.4078
GPMin:    1 11:29:46     -323.500849        0.2991
GPMin:    2 11:29:46     -324.097234        0.2196
GPMin:    3 11:29:47     -324.542747        0.1900
GPMin:    4 11:29:47     -324.849305        0.1443
GPMin:    5 11:29:47     -325.026351        0.0909
GPMin:    6 11:29:48     -325.102157        0.0591
GPMin:    7 11:29:48     -325.124437        0.0400
GPMin:    8 11:29:49     -325.129842        0.0331
GPMin:    9 11:29:50     -325.133604        0.0289
GPMin:   10 11:29:51     -325.136758        0.0191
       Step     Time          Energy         fmax
GPMin:    0 11:29:51      -33.268249        0.0757
GPMin:    1 11:29:51      -33.272676        0.0317
GPMin:    2 11:29:51      -33.273577        0.0005
       Step     Time          Energy         fmax
GPMin:    0 11:29:51     -107.820390        0.3360
GPMin:    1 11:29:51     -108.163755        0.1369
GPMin:    2 11:29:51     -108.200758        0.0247
GPMin:    3 11:29:51     -108.203904        0.0061
       Step     Time          Energy         fmax
GPMin:    0 11:29:52     -149.903318        0.4226
GPMin:    1 11:29:52     -150.485387        0.2541
GPMin:    2 11:29:52     -150.706775        0.1137
GPMin:    3 11:29:52     -150.750671        0.0472
GPMin:    4 11:29:52     -150.757035        0.0301
GPMin:    5 11:29:52     -150.758878        0.0233
GPMin:    6 11:29:52     -150.759516        0.0118
       Step     Time          Energy         fmax
GPMin:    0 11:29:53     -979.575206        0.4015
GPMin:    1 11:29:55     -981.128480        0.3370
GPMin:    2 11:29:56     -982.232220        0.2848
GPMin:    3 11:29:57     -983.194708        0.2375
GPMin:    4 11:30:00     -984.047005        0.1977
GPMin:    5 11:30:03     -984.808852        0.1715
GPMin:    6 11:30:07     -985.488162        0.1599
GPMin:    7 11:30:13     -986.086901        0.1452
GPMin:    8 11:30:20     -986.610328        0.1307
GPMin:    9 11:30:29     -987.069502        0.1178
GPMin:   10 11:30:40     -987.467172        0.1062
GPMin:   11 11:30:53     -987.805927        0.0962
GPMin:   12 11:31:09     -988.091159        0.0891
GPMin:   13 11:31:33     -988.327201        0.0797
GPMin:   14 11:31:54     -988.517945        0.0779
GPMin:   15 11:32:27     -988.668442        0.0735
GPMin:   16 11:32:59     -988.783784        0.0586
GPMin:   17 11:33:45     -988.869115        0.0462
GPMin:   18 11:34:32     -988.928912        0.0370
GPMin:   19 11:35:43     -988.967539        0.0337
GPMin:   20 11:37:01     -988.992050        0.0288
